Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Ximena Osandón,Cámara,2025,RN,Derecha,Profesora
Daniela Serrano,Cámara,2025,PCCH,Extrema - Izquierda,Estudiante de Derecho
Gael Yeomans,Cámara,2025,FA,Izquierda,Abogada
Lorena Pizarro,Cámara,2025,PCCH,Extrema - Izquierda,Educadora de Párvulos
Valentina Becerra,Cámara,2025,PRCH,Extrema - Derecha,Política
Marisela Santibáñez,Cámara,2025,PCCH,Extrema - Izquierda,Actriz
Valentina Cáceres,Cámara,2025,FA,Izquierda,Egresada de Derecho
Natalia Romero,Cámara,2025,UDI,Derecha,Periodista
Carolina Cucumides,Cámara,2025,PS,Izquierda,Ingeniera Comercial
Priscilla Castillo,Cámara,2025,PDC,Centro,Política
Consuelo Veloso,Cámara,2025,PR,Centro - Izquierda,Política
Sara Concha,Cámara,2025,PSC,Extrema - Derecha,Politica
Francesca Muñoz,Cámara,2025,PSC,Extrema - Derecha,Profesora
Paz Charpentier,Cámara,2025,PRCH,Extrema - Derecha,Abogada
Marlene Pérez,Cámara,2025,UDI,Derecha,Trabajadora Social
Flore Weisse,Cámara,2025,UDI,Derecha,Ingeniera Comercial
Joanna Pérez,Cámara,2025,DEM,Centro,Admisntradora Pública
Lilian Betancurt,Cámara,2025,PDG,Centro,Política
Gloria Naveillan,Cámara,2025,PNL,Extrema - Derecha,Publicista
Andrea Parra,Cámara,2025,PPD,Centro - Izquierda,Enfermera
Flor Contreras,Cámara,2025,PDG,Centro,Política
Emilia Nuyado,Cámara,2025,PS,Izquierda,Auditora
Paulina muñoz,Cámara,2025,PNL,Extrema - Derecha,Ingeniera Industrial
Claudia Reyes,Cámara,2025,PRCH,Extrema - Derecha,Política
Andrea Macías,Cámara,2025,PS,Izquierda,Socióloga
Alejandra Valdebenito,Cámara,2025,UDI,Derecha,Política
Javiera Morales,Cámara,2025,FA,Izquierda,Abogada
Stephanie Jeldréz,Cámara,2025,PRCH,Extrema - Derecha,
Ximena Naranjo,Cámara,2025,Ind - UDI,Derecha,
Marcela Hernando,Cámara,2025,PR,Centro - Izquierda,
Paula Olmos,Cámara,2025,PDG,Centro,
Nathalie Castillo,Cámara,2025,PCCH,Extrema - Izquierda,
Carolina Tello,Cámara,2025,FA,Izquierda,
Eileen Urqueta,Cámara,2025,PDG,Centro,
Chiara Barchiesi,Cámara,2025,PRCH,Extrema - Derecha,
María Francisca Bello,Cámara,2025,FA,Izquierda,
Sofía Gónzalez,Cámara,2025,PCCH,Extrema - Izquierda,
Coca Ñanco,Cámara,2025,FA,Izquierda,
María De la Cruz,Senado,1953,PFC,Centro,Escritora
Julieta Campusano,Senado,1973,PCCh,Extrema Izquierda,
María Elena Carrera,Senado,1973,PS,Izquierda,
Carmen Frei,Senado,1989,DC,Centro,Abogada
Laura Soto,Senado,1989,PPD,Centro Izquierda,Política
Carmen Frei,Senado,1993,PDC,Centro,Abogada
Maria Elena Carrera,Senado,1993,PS,Izquierda,Médico
Carmen Frei,Senado,1997,PDC,Centro,Abogada
Evelyn Matthei,Senado,1997,UDI,Derecha,Economista
Evelyn Matthei,Senado,2005,UDI,Derecha,Economista
Soledad Alvear,Senado,2005,DC,Centro,Abogada
Isabel Allende,Senado,2009,PS,Izquierda,Socióloga
Lily Pérez,Senado,2009,RN,Derecha,Publicista
Ximena Rincón,Senado,2009,DC,Centro,Abogada
Adriana Muñoz,Senado,2013,PPD,Centro Izquierda,Socióloga
Jacqueline van Rysselberghe,Senado,2013,UDI,Derecha,Médica cirujana
Ena von Baer,Senado,2013,UDI,Derecha,Política
Caroloina Goic,Senado,2013,PDC,Centro,Trabajadora Social
Luz Ebensperger,Senado,2017,UDI,Derecha,Abogada
Yasna Provoste,Senado,2017,PDC,Centro,Profesora de Educación Física
Isabel Allende,Senado,2017,PS,Izquierda,Socióloga
Ximena Rincón,Senado,2017,DC,Centro,Abogada
Carmen Aravena,Senado,2017,EVOP,Centro Derecha,Agrónoma
Ximena Ordenes,Senado,2017,PPD,Centro Izquierda,Socióloga
Paulina Núñez,Senado,2021,RN,Derecha,Abogada
Claudia Pascual,Senado,2021,PCCh,Extrema Izquierda,Antropóloga
Fabiola Campillai,Senado,2021,IND,Centro,Política
Alejandra Sepulveda,Senado,2021,FRVS,Izquierda,Médico Veterinario
Loreto Carvajal,Senado,2021,PPD,Centro Izquierda,Egresada de Derecho
María José Gatica,Senado,2021,RN,Derecha,Ingeniera civil en Construcción
Paulina Núñez,Senado,2025,RN,Derecha,Abogada
Fabiola Campillai,Senado,2025,IND,Centro,Política
Claudia Pascual,Senado,2025,PCCh,Extrema Izquierda,Antropóloga
Alejandra Sepulveda,Senado,2025,FRVS,Izquierda,Médico Veterinario
Loreto Carvajal,Senado,2025,PPD,Centro Izquierda,Egresada de Derecho
María José Gatica,Senado,2025,RN,Derecha,Ingeniera civil en Construcción
Danisa Astudillo,Senado,2025,PS,Izquierda,Ingeniera Comercial
Daniella Cicardini,Senado,2025,PS,Izquierda,Bióloga Marina
Yasna Provoste,Senado,2025,PDC,Centro,Profesora de Educación Física
Karol Cariola,Senado,2025,PCCh,Extrema Izquierda,Matrona
Camila Flores,Senado,2025,RN,Derecha,Abogada
Paulina Vodanovic,Senado,2025,PS,Izquierda,Abogada
Andrea Balladares,Senado,2025,RN,Derecha,Socióloga
Vanessa Kaiser,Senado,2025,PNL,Extrema Derecha,Cientista Política
Ximena Ordenes,Senado,2025,PPD,Centro Izquierda,Socióloga
Beatriz Sánchez,Senado,2025,FA,Centro Izquierda,Periodista
